image,text
data/raw/newspaper/textbox_32_line_2_.png,کمرے کل بنے گا، انہیں مفت میں جانے دی گئی
data/raw/newspaper/textbox_33_line_1_.png,ہوٹل میں کھانا کھلا ہے۔ کھانا اچھا ہے۔ سٹاف کا
data/raw/newspaper/textbox_33_line_2_.png,لوگ دو ستارے ہیں۔ کمرے صاف اور روشن ہیں۔
data/raw/newspaper/textbox_34_line_2_.png,ہوٹل کا سٹاف اچھا میں ہے۔ ہمیں بہت انتظار
data/raw/newspaper/textbox_34_line_3_.png,کروایا۔ میں دوبارہ اس ہوٹل میں نہیں آؤں گا۔
data/raw/newspaper/textbox_35_line_1_.png,میں نے ہوٹل میں دو کمروں کی بکنگ کروائی
data/raw/newspaper/textbox_35_line_2_.png,ہوٹل آکر مجھے صرف ایک کمرہ دیا گیا۔
data/raw/newspaper/textbox_36_line_1_.png,ہوٹل دیکھنے میں بہت خوبصورت ہے۔ ہوٹل کا
data/raw/newspaper/textbox_36_line_2_.png,احاطہ کافی بڑا ہے۔ ہوٹل کا کھانا لذیذ ہے۔
data/raw/newspaper/textbox_37_line_1_.png,ہوٹل کا کھانا مزیدار
data/raw/newspaper/textbox_37_line_2_.png,صحیح تھا۔ ہوٹل کا ماحول خوشگوار تھا۔
data/raw/newspaper/textbox_38_line_1_.png,ہوٹل کی پارکنگ بہت بڑی ہے۔ ہوٹل کی سیکیورٹی
data/raw/newspaper/textbox_38_line_2_.png,کا نظام اچھا ہے۔ ہوٹل کا کھانا عمدہ ہے۔
data/raw/newspaper/urdu_1.png,پاکستان زندہ باد
data/raw/newspaper/urdu_2.png,آج کا موسم خوشگوار ہے
data/raw/newspaper/urdu_3.png,تعلیم ہر انسان کا حق ہے
data/raw/newspaper/urdu_4.png,کراچی پاکستان کا سب سے بڑا شہر ہے
data/raw/newspaper/urdu_5.png,محنت کامیابی کی کنجی ہے
data/raw/newspaper/urdu_6.png,اردو ہماری قومی زبان ہے
data/raw/newspaper/urdu_7.png,ہم روزانہ مطالعہ کرتے ہیں
data/raw/newspaper/news1_jpg.jpeg,غیر ملکی خبر رساں ادارے 'اے ایف پی' کی رپورٹ کے
data/raw/newspaper/news10_jpg.jpeg,سرپرستی میں منعقدہ ایک ثقافتی تقریب کے دوران
